 smile id
109 OCC1CN(C2=NC(NCCC3=C(Cl)C=C(Cl)C=C3)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L736
110 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(=NC(NCC2=CC=CC(=C2)C(F)(F)F)=N1)N1CCC(CCCC(O)=O)CC1 L27328
111 CN(CC1=CC=CC=C1Cl)C1=NC(=NC(NC2=CC=CC=N2=O)=N1)N1CCC(CCCC(O)=O)CC1 L3524
112 CN(CC1=CC=CC(=C1)C(F)(F)F)C1=NC(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)=NC(NC2(CCSCC2)C(O)=O)=N1 L53373
113 OCC1CN(C2=NC(NCCC3=CC=CC=C3OC3=CC=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37454
114 CN(C)CC(C)(C)CNC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37523
115 OCC1CN(C2=NC(NCCC3=CC=C(Br)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37594
116 COC1=CC=CC=C1CCNC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37533
117 CN(CC1=CC=C(Cl)C=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L53440
118 COC1=CC=CC(CN(C)C2=NC(=NC(NC3=CC(Cl)=C(Cl)C=C3N)=N2)N2CCC(CCCC(O)=O)CC2)=C1 L25030
119 CN(CC1=CC(Cl)=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)=N1 L72834
120 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CCN(CC1)C1=CC=CC=C1C L43095
121 C[C@@H](CNC1=NC(=NC(NCCC2=CNC3=C2C=C(Br)C=C3)=N1)N1CC(CO)OC2=CC=CC=C12)C(O)=O L74475
122 C[C@@H](NC1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1)C1=CC=C(Br)C=C1 L52503
123 CCN(CC1=CC=C(C)C=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L38080
124 COC1=CC=C(CCNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=C1Br L37595
125 NC1=CC(Cl)=C(Cl)C=C1NC1=NC(NCCC2=CNC3=C2C=C(OCC2=CC=CC=C2)C=C3)=NC(=N1)N1CCC(CCCC(O)=O)CC1 L25133
126 OCC1CN(C2=NC(=NC(NC3(CCSCC3)C(O)=O)=N2)N2CCC(CC2)N2CCCC2)C2=CC=CC=C2O1 L37459
127 CN(CC1=CC=CO1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L53824
128 CCN(CC(C)=C)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L51543
129 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(NCC2=CC=CC(=C2)C(F)(F)F)=N1 L64192
130 OCC1CN(C2=NC(NCC3=CC=C(Cl)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37574
131 COC1=CC=CC=C1N1CCN(CC1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37540
132 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(=NC(NCC2=CC=C(C=C2)C(F)(F)F)=N1)N1CCC(CCCC(O)=O)CC1 L27136
133 OCC1CN(C2=NC(=NC(NC3(CCSCC3)C(O)=O)=N2)N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CC=C2O1 L37463
134 CN(CC1=CC=CC=C1)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25025
135 OCC1CN(C2=NC(NCC3=CC=CC(Cl)=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37575
136 C[C@@H](CNC1=NC(=NC(NCCC2=CNC3=C2C=C(OCC2=CC=CC=C2)C=C3)=N1)N1CC(CO)OC2=CC=CC=C12)C(O)=O L74477
137 OC(=O)CCCC1CCN(CC1)C1=NC(NCC2=CC=CC(=C2)C(F)(F)F)=NC(NCCC2=CNC3=C2C=C(Br)C=C3)=N1 L27435
138 OCC1CN(C2=NC(NCC3=CC4=C(S3)C=CC=C4)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37445
